category,source,date,latitude,longitude,magnitude_value,magnitude_unit,location,binary_category
0,0,2026-02-24,0.11686641767779775,-0.05825270161771401,-0.10689262551466311,1,13,0
0,0,2026-02-24,0.11035234886143397,-0.12232483580522206,0.01335392407421225,1,12,0
0,0,2026-02-23,0.2156098928322827,-0.2631612429836018,-0.0695963875545941,1,11,0
0,0,2026-02-23,0.02466024725550398,-0.25506602412642676,-0.11259334582462185,1,6,0
0,0,2026-02-23,0.031878168724978,-0.5162564400661526,-0.046938439881961495,1,28,0
0,0,2026-02-23,0.18716537310878864,-0.11940851173543476,-0.09911452407480416,1,12,0
0,0,2026-02-23,0.18834590374099952,-0.11940275354604452,-0.10148177233910906,1,12,0
0,0,2026-02-23,0.22920824125335829,-0.23288483879623972,-0.01761354811802122,1,8,0
0,0,2026-02-23,0.11171374729686319,-0.12089326000512597,-0.06974132112179644,1,12,0
0,0,2026-02-23,0.11344636658834398,-0.12260008763319354,-0.02635787333922911,1,12,0
0,0,2026-02-23,0.20497254476805024,-0.22771773705739326,-0.10138514996097417,1,8,0
0,0,2026-02-23,0.209778974080739,-0.2267748465136298,0.0043680429076671246,1,8,0
0,0,2026-02-23,0.21022578236074146,-0.2352492931531419,-0.1039939541706163,1,8,0
0,0,2026-02-23,0.22580374361668906,-0.22033938684151846,-0.0562141881829113,1,8,0
0,0,2026-02-23,0.22091448038500183,-0.25048342184034417,0.012242766725660971,1,11,0
0,0,2026-02-23,-0.2929935747713745,-0.016871845339443636,0.35781270212510874,1,1,0
0,0,2026-02-22,-0.0124714060796976,-0.028573145000363762,-0.1038007094143465,1,13,0
0,0,2026-02-22,-0.003845048763039008,-0.1115210372846706,-0.03732451325753956,1,12,0
0,0,2026-02-22,0.32128633134855245,-0.23286014602011582,0.05828332990693788,1,18,0
0,0,2026-02-22,-8.453023553994086e-05,-0.1504469509024974,-0.03312143980867168,1,0,0
0,0,2026-02-22,0.0016942780975442346,-0.2319131227218048,-0.1103710311275193,1,6,0
0,0,2026-02-22,0.3346775007087817,-0.3080608371514153,-0.11196530036674504,1,11,0
0,0,2026-02-22,0.21255049332073803,-0.23874549974906462,0.024079008047185466,1,8,0
0,0,2026-02-22,0.29389593510463574,-0.20766734117951108,0.05388701170180021,1,8,0
0,0,2026-02-22,0.36011982699139067,-0.15543470146910354,-0.0640406008118377,1,26,0
0,0,2026-02-22,0.20843542676725624,-0.2244755997609041,-0.10573315697704438,1,8,0
0,0,2026-02-21,-0.17682676242823014,-0.01384624363100501,-0.10124021639377183,1,1,0
0,0,2026-02-21,0.012109070391927658,-0.14057156272211968,-0.11066089826192398,1,0,0
0,0,2026-02-21,0.2646745321974548,-0.27045662685504857,-0.10921156258990057,1,11,0
0,0,2026-02-21,0.3411761339015484,-0.1875067269857919,-0.07664982115844135,1,18,0
0,0,2026-02-21,0.016869793762683067,-0.25483901658794156,0.010406941541097989,1,6,0
0,0,2026-02-21,0.196331718027134,-0.23349608875647138,0.261528502313687,1,8,0
0,0,2026-02-21,0.20863997823721525,-0.22483672296578908,-0.08090120579637668,1,8,0
