event_id,title,category,source,date,latitude,longitude,magnitude_value,magnitude_unit,closed
EONET_18975,"Rx Hardin 2806 Prescribed Fire, Hardin, Texas",Wildfires,IRWIN,2026-03-27T12:21:00Z,30.3957,-94.34081,650,acres,
EONET_19240,"3R RX - COYOTE Prescribed Fire, Ferry, Washington",Wildfires,IRWIN,2026-03-27T11:06:00Z,48.604201,-118.293279,531,acres,
EONET_18971,"Carroll - CR 145 Wildfire, Carroll, Mississippi",Wildfires,IRWIN,2026-03-27T10:02:00Z,33.3744444,-89.9555556,1500,acres,
EONET_18979,"Salt Wildfire, Stafford, Kansas",Wildfires,IRWIN,2026-03-27T09:18:00Z,38.20875,-98.47647,500,acres,
EONET_18984,"Big Toe Wildfire, Pittsburg, Oklahoma",Wildfires,IRWIN,2026-03-27T03:53:00Z,35.0533333,-95.3672222,1208,acres,
EONET_19250,"Shady Grove Wildfire, Craig, Oklahoma",Wildfires,IRWIN,2026-03-26T20:42:00Z,36.9369444,-95.0955556,600,acres,
EONET_18982,"BOX Wildfire, Osage, Oklahoma",Wildfires,IRWIN,2026-03-26T18:00:00Z,36.4778,-96.6398,2486,acres,
EONET_18989,"Cedar Canyon Wildfire, Blaine, Oklahoma",Wildfires,IRWIN,2026-03-26T16:33:00Z,36.005,-98.3569444,620,acres,
EONET_18973,"RL 005 CB Wildfire, Clearwater, Minnesota",Wildfires,IRWIN,2026-03-26T10:39:00Z,47.885474,-95.257567,658,acres,
EONET_18995,"Homochitto BB 2 RX Prescribed Fire, Copiah, Mississippi",Wildfires,IRWIN,2026-03-26T09:29:00Z,31.736,-90.734,555,acres,
EONET_18987,"Minor Wildfire, Grant, Nebraska",Wildfires,IRWIN,2026-03-26T09:27:00Z,42.001111,-101.760772,13805,acres,
EONET_18988,"Ashby Wildfire, Grant, Nebraska",Wildfires,IRWIN,2026-03-26T09:26:00Z,42.021944,-101.927778,37150,acres,
EONET_18994,"RX WINN BU 37 Prescribed Fire, Winn, Louisiana",Wildfires,IRWIN,2026-03-26T09:17:00Z,32.036667,-92.825556,1816,acres,
EONET_19248,"ANF Upland Island N 68/69/70 RX Prescribed Fire, Angelina, Texas",Wildfires,IRWIN,2026-03-26T09:04:00Z,31.103717,-94.35225,5010,acres,
EONET_18993,"RX CALE BU 41 Prescribed Fire, Rapides, Louisiana",Wildfires,IRWIN,2026-03-26T08:49:00Z,31.135,-92.646933,925,acres,
EONET_19195,"C-38B_41 EN RX Prescribed Fire, Union, South Carolina",Wildfires,IRWIN,2026-03-26T07:32:00Z,34.588056,-81.635,1059,acres,
EONET_18986,"Zipperer Wildfire, Pittsburg, Oklahoma",Wildfires,IRWIN,2026-03-26T04:06:00Z,34.7991667,-95.5319444,1216,acres,
